grade,sub_grade,Sum of revol_bal
A,A1,11365196
A,A2,14004780
A,A3,19543922
A,A4,34557156
A,A5,35303045
B,B1,21842079
B,B2,26478439
B,B3,39723554
B,B4,35405811
B,B5,37858666
C,C1,29384926
C,C2,27321114
C,C3,20531370
C,C4,16867691
C,C5,16015609
D,D1,12130255
D,D2,18570972
D,D3,16793781
D,D4,13742947
D,D5,13252474
E,E1,11132588
E,E2,10242033
E,E3,9039059
E,E4,7990991
E,E5,7669868
F,F1,5840746
F,F2,4528248
F,F3,3175435
F,F4,2551064
F,F5,2187323
G,G1,1808763
G,G2,1729627
G,G3,832193
G,G4,1390628
G,G5,701515
